Exercise List,,,,,,,,,,,,
"Add new exercises by adding rows. Enter the fractional set weight for each muscle group (e.g. 1 = full set, 0.5 = half set). Leave blank for 0.",,,,,,,,,,,,
Exercise,Chest,Back,Shoulders,Biceps,Triceps,Quads,Hamstrings,Glutes,Calves,Abs,Rear Delts,Low Back
Back Extension,,,,,,,0.5,0.5,,,,0.5
Leg Extension,,,,,,1.,,,,,,
Hip Adductions,,,,,,,,1.,,,,
Dumbell Shoulder Press,,,1.,,0.25,,,,,,,
Dumbell Row (Single Arm),,1.,,0.5,,,,,,,0.5,
Incline Bench Dumbell Bicep Curl,,,,1.,,,,,,,,
Lying Hamstring Curl,,,,,,,1.,,,,,
Sitting hamstring curl ,,,,,,,1.,,,,,
Hammer Str Back-Supported Row,,1.,,0.5,,,,,,,,
Face Pull,,0.5,,,,,,,,,1.,
Tricep Pushdown,,,,,,,,,,,,
Machine Chest Fly (matrix),1.,,,,,,,,,,,
Machine Rear Delt Fly (matrix),,0.5,,,,,,,,,1.,
Calf raise ,,,,,,,,,1.,,,
Hammer strength preacher curl ,,,,1.,,,,,,,,
Matrix tricep push down ,,,,,1.,,,,,,,
Hammer strength stack row ,,,,,,,,,,,,
Matrix cable row ,,1.,,0.5,,,,,,,,
Bulgarian split squat ,,,,,,,,,,,,